Assists,Attacking scrum win,Breakdown steal,Club,Conceded penalty,Conversion,Defenders beaten,Drop goal,ID,Kick 50-22,Kicks recovered,Lineout steal,Man of the match,Metres carried,Minutes played,Name,Offloads,Penalty,Position,Position Name,Pts,Red cards ,Tackles,Try,Yellow cards,gameweek
,5,,Wales,,,,,105892,,,,,1,62,A. Beard,,,11,Second Row,14.0,,9,,,2
,5,,Scotland,,,,,196773,,,,,9,31,P. Schoeman,,,12,Prop,10.0,,5,,,2
,4,,Wales,,,1,,119955,,,,,8,50,R. Carre,,,12,Prop,29.0,,8,1,,2
,4,,Italy,,,2,,197335,,,,,25,66,L. Cannone,,,10,Back Row,28.0,,18,,,2
,4,,Wales,,,1,,212902,,,,,21,50,D. Lake,2,,13,Hooker,21.0,,9,,,2
,4,,Italy,,,1,,208272,,,,,,66,N. Cannone,,,11,Second Row,15.0,,9,,,2
,4,,Wales,1,,,,216823,,,,,22,50,O. Cracknell,1,,10,Back Row,15.0,,8,,,2
,4,,Ireland,,,,,203381,,,,,10,70,J. Ryan,,,11,Second Row,10.0,,5,,,2
,4,,Wales,2,,,,175275,,,,,13,50,T. Francis,,,12,Prop,10.0,,7,,,2
,4,,Ireland,,,,,174268,,,,,5,66,J. Loughman,,,12,Prop,8.0,,4,,,2
,4,,Scotland,,,,,129286,,,,,3,30,D. Cherry,,,13,Hooker,7.0,,3,,,2
,4,,Scotland,,,,,236957,,,,,,24,M. Williamson,,,11,Second Row,5.0,,1,,,2
,3,,England,,,1,,209612,,,,,68,80,B. Earl,,,10,Back Row,40.0,,14,1,,2
1,3,,France,,,,,198942,,,,,52,80,C. Ollivon,1,,10,Back Row,39.0,,10,1,,2
,3,2,France,,,1,,177800,,,,,25,68,M. Guillard,1,,11,Second Row,31.0,,12,,,2
,3,,Italy,,,,,118165,,,,,3,58,G. Nicotera,,,13,Hooker,31.0,,13,1,,2
,3,,France,,,,,244767,,,,,16,80,O. Jegou,1,,10,Back Row,25.0,,19,,,2
,3,,Scotland,,,1,,113000,,,,,7,56,J. Dempsey,,,10,Back Row,16.0,,11,,,2
,3,,England,,,,,144635,,,,,20,80,O. Chessum,,,11,Second Row,16.0,,11,,,2
,3,,Italy,,,,,128750,,,,,1,60,A. Zambonin,,,11,Second Row,16.0,,13,,,2
,3,1,Scotland,,,,,218848,,,,,4,50,G. Turner,,,13,Hooker,15.0,,7,,,2
,3,,Italy,1,,1,,123723,,,,,4,58,D. Fischetti,,,12,Prop,12.0,,8,,,2
,3,,Ireland,,,1,,223413,,,,,15,52,J. McCarthy,,,11,Second Row,11.0,,5,,,2
,3,,Ireland,2,,1,,196853,,,,,3,40,T. Clarkson,,,12,Prop,11.0,,8,,,2
,3,,England,,,,,222623,,,,,2,40,T. Curry,,,10,Back Row,9.0,,6,,,2
,3,,Scotland,2,,,,196669,,,,,1,50,Z. Fagerson,,,12,Prop,8.0,,7,,,2
,3,,Ireland,2,,,,211240,,,,,17,52,D. Sheehan,,,13,Hooker,4.0,,2,,,2
,2,1,England,,,2,,239634,,,,,47,24,H. Pollock,,,10,Back Row,22.0,,7,,,2
,2,,France,,,2,,244170,,,,,29,29,L. Nouchi,,,10,Back Row,16.0,,8,,,2
,2,,Wales,,,1,,187169,,,,,10,30,A. Griffin,,,12,Prop,13.0,,8,,,2
,2,,Ireland,,,,,118531,,,,,14,28,R. Kelleher,,,13,Hooker,12.0,,9,,,2
,2,,Ireland,,,,,147486,,,,,,28,T. Beirne,,,11,Second Row,11.0,,9,,,2
